Rhythm,Original IOIinformationEntropy,Velocity IOIinformationEntropy
0_7_pop-groove7_138_beat_4-4_bar_1_reduced_constant,1.183345557164655,1.183345557164655
1_24_rock_90_beat_4-4_bar_26_reduced_constant,2.44670484707173,2.44670484707173
2_10_rock_60_beat_4-4_bar_2_reduced_constant,2.3035713999361684,2.3035713999361684
3_106_hiphop_70_beat_4-4_bar_3_reduced_constant,2.3037427777408843,2.3037427777408843
4_34_punk_128_beat_4-4_bar_2_reduced_constant,2.7548875021634687,2.7548875021634687
5_5_jazz-linear_128_beat_4-4_bar_42_reduced_constant,4.836591668108979,4.836591668108979
6_10_rock-folk_90_beat_4-4_bar_55_reduced_constant,5.790435993856598,5.790435993856598
7_18_rock_120_beat_4-4_bar_11_reduced_constant,5.0315791683493645,5.0315791683493645
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced_constant,4.145838842553839,4.145838842553839
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced_constant,8.311278124459132,8.311278124459132
