Rhythm,Original LHL,Velocity LHL
0_7_pop-groove7_138_beat_4-4_bar_1_reduced_constant,0.0,0.0
1_24_rock_90_beat_4-4_bar_26_reduced_constant,14.0,8.488188976377954
2_10_rock_60_beat_4-4_bar_2_reduced_constant,21.0,12.73228346456693
3_106_hiphop_70_beat_4-4_bar_3_reduced_constant,12.0,7.275590551181103
4_34_punk_128_beat_4-4_bar_2_reduced_constant,14.0,8.488188976377954
5_5_jazz-linear_128_beat_4-4_bar_42_reduced_constant,49.0,29.708661417322833
6_10_rock-folk_90_beat_4-4_bar_55_reduced_constant,24.0,14.551181102362206
7_18_rock_120_beat_4-4_bar_11_reduced_constant,70.0,42.44094488188976
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced_constant,26.0,15.763779527559057
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced_constant,52.0,31.527559055118108
