Rhythm,Original Pressing,Velocity Pressing
0_7_pop-groove7_138_beat_4-4_bar_1_reduced,7.5,6.475500904209504
1_24_rock_90_beat_4-4_bar_26_reduced,3.0,2.251548296111728
2_10_rock_60_beat_4-4_bar_2_reduced,17.5,17.5
3_106_hiphop_70_beat_4-4_bar_3_reduced,26.5,26.204802203596927
4_34_punk_128_beat_4-4_bar_2_reduced,20.0,19.125221499808486
5_5_jazz-linear_128_beat_4-4_bar_42_reduced,35.0,35.0
6_10_rock-folk_90_beat_4-4_bar_55_reduced,30.25,29.258297771270453
7_18_rock_120_beat_4-4_bar_11_reduced,35.25,35.16381751277178
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced,44.25,43.731688543666834
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced,66.75,65.99887954823006
