Rhythm,Original Toussaint,Velocity Toussaint
0_7_pop-groove7_138_beat_4-4_bar_1_reduced,0.0,0.7086614173228352
1_24_rock_90_beat_4-4_bar_26_reduced,6.0,4.1338582677165405
2_10_rock_60_beat_4-4_bar_2_reduced,9.0,8.677165354330729
3_106_hiphop_70_beat_4-4_bar_3_reduced,13.0,9.56692913385828
4_34_punk_128_beat_4-4_bar_2_reduced,16.0,12.354330708661418
5_5_jazz-linear_128_beat_4-4_bar_42_reduced,21.0,17.488188976377952
6_10_rock-folk_90_beat_4-4_bar_55_reduced,25.0,12.039370078740157
7_18_rock_120_beat_4-4_bar_11_reduced,29.0,22.102362204724407
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced,34.0,17.75590551181102
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced,42.0,26.598425196850396
